"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"160","inlandTOWA","Houston","maddie_plate2_RF08M03",-1928045.85,7655272.991,10181414,182,160,129,33,-1,1094,781,253,-389,428,93,631,15,-87,277,120,143,288,185,178,434,111,-79,207,175,-124,-155.198859848013,1536.42144367509
"161","coastalTOWA","Prince Rupert","maddie_plate2_RF10M02",-2143784.007,7764216.124,9737569,57,106,0,268,28,55,1157,299,-163,433,193,3007,71,27,851,130,280,192,416,900,153,121,28,103,161,7,1318.74679239692,-821.079402609675
"162","coastalTOWA","Prince Rupert","maddie_plate2_RF10M03",-2143308.777,7764118.423,9737569,57,106,0,268,28,55,1157,299,-163,433,193,3007,71,27,851,130,280,192,416,900,153,121,28,103,161,7,1318.74679239692,-821.079402609675
"163","coastalTOWA","Prince Rupert","maddie_plate2_RF11M02",-2143946.455,7764531.084,9737569,57,106,0,268,28,55,1157,299,-163,433,193,3007,71,27,851,130,280,192,416,900,153,121,28,103,161,7,1318.74679239692,-821.079402609675
"164","coastalTOWA","Prince Rupert","maddie_plate2_RF11M03",-2143946.483,7764529.815,9737569,57,106,0,268,28,55,1157,299,-163,433,193,3007,71,27,851,130,280,192,416,900,153,121,28,103,161,7,1318.74679239692,-821.079402609675
"165","coastalTOWA","Prince Rupert","maddie_plate2_RF11M04",-2144101.832,7764443.075,9737568,59,88,0,269,28,31,1317,311,-135,433,223,3037,80,37,857,136,303,125,419,910,159,127,39,99,165,20,1250.3011576587,-937.462873706022
"166","inlandTOWA","Terrace","maddie_plate2_RF12M03",-2035321.921,7723220.657,9904547,51,176,32,196,5,1002,626,250,-375,422,74,2233,12,-83,461,107,128,1380,235,874,232,97,-72,190,165,-115,1443.32322609922,536.774012398367
"167","inlandTOWA","Terrace","maddie_plate2_RF13M01",-2038456.057,7725078.507,9896404,54,167,36,195,4,878,755,258,-360,433,91,2250,22,-75,461,116,147,1268,233,892,252,107,-64,191,173,-106,1341.6692877808,377.743224175512
"168","inlandTOWA","Kitimat","maddie_plate2_RF14M01",-2048881.289,7703115.915,9985934,43,163,0,264,12,780,776,260,-349,426,97,2939,26,-69,635,118,155,1482,302,1094,186,108,-56,187,170,-100,1897.71748509777,-119.978883048063
"169","inlandTOWA","Kitimat","maddie_plate2_RF14M04",-2047338.806,7704543.197,9981865,49,152,6,248,10,617,919,268,-329,437,116,2803,36,-58,601,127,175,1186,288,1051,211,118,-45,185,178,-88,1620.24212178886,-216.22060675219
